"tweet_text","dataset"
"will attend her graduation day tomorrow  (I don't know whether I have to be happy or not) http://plurk.com/p/112n05","Sentiment140"
"JoeBucsFan >> Someone Didn’t Do His Homework http://bit.ly/AslPh","twitter_cikm_2010"
"Tonight at the Rum Barrel: the Michael Dixon Band!","twitter_cikm_2010"
"oh, how I love the 'all back/neighborhood roads' trip back to my house on a rainy night when I might have been drinking some bourbon.","twitter_cikm_2010"
"RT @cal_tweet sorry 4 the inconvenience the site was down due 2 our host and when it came live..it sent out old tweets..","twitter_cikm_2010"
"@dulani247 It's so funny! ","Sentiment140"
"@huddletwin02 yes maam I will be in charge. I'm bout to drive the SC girl and her friends out of here.","twitter_cikm_2010"
"@Valinny Interview prepping!  That's great!  Good luck!","twitter_cikm_2010"
"@Niekihalyn its in the telephone video. you should watch it. i personally love it. especially that part. lol","twitter_cikm_2010"
"The India, Philippine and Portugal flags have been released! Make sure to check them out, Farmers! http://tinyurl.com/pex66g","twitter_cikm_2010"
"Can't wait til these drop  http://tweetphoto.com/9029479","twitter_cikm_2010"
"#onlyinbrooklyn we have the most high schools!","twitter_cikm_2010"
"@UPSHelp Any luck?","Customer Support on Twitter"
"Evans Turner girl - Bringing Flash to the Women’s Game at Ohio State - http://nyti.ms/9EcRel","twitter_cikm_2010"
"RT @Billie_Jeanx3: #wheniwaslittle I thought if u had 100$ u was riiiiich!","twitter_cikm_2010"
"Photo: Love this #TimesSquare advertisement for @StellaArtois http://tumblr.com/xt73whe1f","twitter_cikm_2010"
"i want to sleep!!!, but i can't ","Sentiment140"
"@263080 Sorry you're unhappy Haider. What store did you buy this in and can you give me the baarcode? Liz","Customer Support on Twitter"
"RT @DaveMalby: I will be speaking to 3,000 in Rocklin, CA at Adventure Church. Keynote speaker Rudy Ruettiger. <== C U there Dave!","twitter_cikm_2010"
"want to go into town but don't really feel like walking down their on my own ","Sentiment140"
"&quot;On Wednesdays I Go Shopping and Have Buttered Scones for Tea.&quot;  Yes, that's the blog title.    Jen http://ajroxmywhitesox.mlblogs.com","Sentiment140"
"FUNKERMAN, SYDNEY BLU, CEVIN FISHER @ PACHA TONIGHT! ","twitter_cikm_2010"
"all the best much needed have young leaders like you leading modi squad from karnataka not only through social media campaign but contesting elections well ","Twitter Sentiments Dataset"
"Fraser and Gregor watching Empire Strikes Back tres cool. Watched Star Wars yesterday!","twitter_cikm_2010"
"Logged into twitter 2 see who is following, who I'm following and damn I had 2 put socks on I felt under dressed","twitter_cikm_2010"
"too much fun tonight. and way too much laughing.","twitter_cikm_2010"
"Do NOT Waste Money on Protein Shakes - Check out this trick getting guys ripped. http://tinyurl.com/yzp4bpw","twitter_cikm_2010"
"At rollie's and alex's football game","twitter_cikm_2010"
"I will be having a caterpilar  mmmmm","twitter_cikm_2010"
"Tyler, I can't decide if you're the real thing or a wanna be. #ai","twitter_cikm_2010"
"@mantia I included one special ligature just for you: L_O_U   :-)","twitter_cikm_2010"
"@nickwiegand  @brianhewitt  you guys going to make it to Cabernet tonight?","twitter_cikm_2010"
"Cat fact: Ailurophilia is the love of cats.","twitter_cikm_2010"
"just got back from target and i want the katy perry cd  but i couldn't get it , i will get it though!!!","Sentiment140"
"@JHay97 well...you are a Lil country boy so I guess I understand, hahaha! Jk! Ray j is a rapper & he had a show on vh1","twitter_cikm_2010"
"If not us, who. If not now, when? Robert Kennedy Good question! #tcot #wcot","twitter_cikm_2010"
"RT @oopspow: RT @Hlas: I had TCU ahead of Texas on my AP ballot last week, and saw no reason tonight for that to change this weekend.","twitter_cikm_2010"
"home for one more day, watching Deep Blue Sea and laying in my own bed...LL Cool J is the jam","twitter_cikm_2010"
"last modi accepted work drdo isro done under cong govt now what dismissed will say","Twitter Sentiments Dataset"
"@EMarketingGuru Wow, thank you!! ","Sentiment140"
"@feemccloud  Good afternoon. How have u been?","twitter_cikm_2010"
"#FF @plaiddisco (formerly @phokaza !) :D","twitter_cikm_2010"
"@Adam_Schefter it's workin Adam","twitter_cikm_2010"
"Pippa Black is leaving Neighbours ","Sentiment140"
"Remember the treasure trolls...I wish I had one so I can rub the belly for good luck in helping me find my way through life","twitter_cikm_2010"
"@vegaspastor It's so small...","twitter_cikm_2010"
"Bro bought me this ham 4 Christmas. This calls 4 a foodmosh of home cookd proportions! @bradbatteron @Jessepie http://tweetphoto.com/7320684","twitter_cikm_2010"
"At the hotel with the fambam...Can't believe I didn't do anything this weekend...@thisisseptian u suck for goin to LA and leave me stranded","twitter_cikm_2010"
"Don't forget our Clothes Swapping Party tonight at 7pm Cutters Wharf http://bit.ly/pZ4c2 (via @coathangerni)","twitter_cikm_2010"
"@LexyLove_23 oh shoooot girl!!! Sexy Sanchez in the MIA?? Ahhh go stalk him & make me proud ;)","twitter_cikm_2010"
"Inspirational Artwork: Hugo Boss Fragrance: I have always been very interested in fashion and keeping up with t.. http://bit.ly/4Gk4Co","twitter_cikm_2010"
"Meeting with A Realty Group. Great info about loans, first time home buyers, condos and FHA loans!","twitter_cikm_2010"
"Heard he pushd it bck 2march (hope not)RT @Outspoken_nPINK: O4 Valentine`s Day iMa Get The Drake CD ! Everyone Else Can Get Me Chocolate :)","twitter_cikm_2010"
"RT @Nowwhat24: Always got sum gum but ur breath always stink #areyoukiddingme(LMAO)","twitter_cikm_2010"
"@ListenToLeon Thanks.  Come out and see me on Monday at Borders. Im signing copies of my new book","twitter_cikm_2010"
"Well played, sir. RT @J_Flynn: Give it to kris jo. let him create","twitter_cikm_2010"
"says Happy National Maple Syrup Day. Mmmm..maple syrup (mmm) http://plurk.com/p/30misf","twitter_cikm_2010"
"@__Gale__Girl__ Well I am glad he didn't call you again.  Have a great day, hun!","Sentiment140"
"AHHH...Why does AM/EX Smite thee??? Need your thoughts on their latest marketing campaign. http://insocialmedia.com","twitter_cikm_2010"
"I just chopped this chick in the neck","twitter_cikm_2010"
"@RandomGemini ?? We can do that? I've been using my minutes and could have just let some woman do it? Wait where is this said ... woman?","twitter_cikm_2010"
"BongTvLive.com is where the Biggest Party on the Planet is.  3 party rooms!!! started: Sun, 12:00 PST","twitter_cikm_2010"
"Jk- flying out on the 22nd for two free round trips first class.","twitter_cikm_2010"
"so you wanna be hardcore!!!!","twitter_cikm_2010"
"You fam now in the chi.  Take the NY hat off. RT @iamJNiice: #FF @B963EddieV @Platinumstroke @djrockcity (cont) http://tl.gd/c1p1r","twitter_cikm_2010"
"The kid is headed to kush. Where yall at?","twitter_cikm_2010"
"@Danechi Yeah, that's really annoying.  ","Sentiment140"
"@AppleSupport Thanks just done so.","Customer Support on Twitter"
"@ScervinBeatz fool lol","twitter_cikm_2010"
"my must naruto episodes be full of flash backs","twitter_cikm_2010"
"Made a strawberry/banana/carrot smoothie! YES! I've been craving a smoothie forever! Also, watching Home Alone 2! ","Sentiment140"
"@andrewschof Good thanks, bit tired didn't get home until 12.45 last night, was queuing for XFactor from 2pm and didn't go in till 7.45pm ","Sentiment140"
"new songs up. give them a listen and tell us what you think. ... http://lnk.ms/2Z7H2","twitter_cikm_2010"
